[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001110s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001191s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.001364s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.001408s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.001372s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.001443s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.001594s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.001330s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.001377s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.001313s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.001522s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.001409s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 100 行.
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 68 行.
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.001338s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000290s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.001559s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000204s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 80 行.
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined variable: set baseAction.class.php 第 83 行.
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 88 行.
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.001187s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.001639s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001693s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.011153s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011225s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.001164s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.001065s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001155s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001045s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004588s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.001027s ]
[ 2013-06-06T10:33:42+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001076s ]
[ 2013-06-06T10:33:52+08:00 ] /new/admin.php?a=index&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-06-06T10:33:52+08:00 ] /new/admin.php?a=index&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001179s ]
[ 2013-06-06T10:33:52+08:00 ] /new/admin.php?a=index&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001272s ]
[ 2013-06-06T10:33:52+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.001296s ]
[ 2013-06-06T10:33:52+08:00 ] /new/admin.php?a=index&m=index | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.001453s ]
