[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042360s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000377s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.002940s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000314s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000406s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004191s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000707s ]
[ 2013-06-03T09:02:04+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.000757s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000369s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000502s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.000286s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000153s ]
[ 2013-06-03T09:02:09+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.000143s ]
