[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000223s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000270s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.025571s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000391s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.000201s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.000188s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.000193s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.000187s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.000187s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000188s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000344s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000249s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000675s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000792s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.000494s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000305s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.000303s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.000299s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.000300s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.000297s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.000303s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000297s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000297s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000296s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 100 行.
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | NOTIC: [8] Undefined index:  admin_info baseAction.class.php 第 68 行.
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.005024s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000405s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.000310s ]
[ 2013-06-04T09:18:12+08:00 ] /new/admin.php?a=login&m=public | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000125s ]
